Microns	Transmission
2.058	1.474E-05
2.059	1.412E-05
2.060	1.611E-05
2.061	1.514E-05
2.062	1.564E-05
2.063	1.535E-05
2.064	1.653E-05
2.065	1.873E-05
2.066	1.712E-05
2.067	1.547E-05
2.068	1.633E-05
2.069	1.728E-05
2.070	1.879E-05
2.071	1.572E-05
2.072	1.622E-05
2.073	1.485E-05
2.074	1.695E-05
2.075	1.715E-05
2.076	1.727E-05
2.077	1.554E-05
2.078	1.598E-05
2.079	1.678E-05
2.080	1.979E-05
2.081	1.815E-05
2.082	1.961E-05
2.083	1.623E-05
2.084	1.789E-05
2.085	1.500E-05
2.086	1.618E-05
2.087	1.535E-05
2.088	1.511E-05
2.089	1.580E-05
2.090	1.758E-05
2.091	1.868E-05
2.092	1.736E-05
2.093	1.669E-05
2.094	1.502E-05
2.095	1.613E-05
2.096	1.598E-05
2.097	1.912E-05
2.098	1.834E-05
2.099	1.787E-05
2.100	1.693E-05
2.101	1.707E-05
2.102	1.689E-05
2.103	1.692E-05
2.104	1.930E-05
2.105	1.885E-05
2.106	1.992E-05
2.107	1.961E-05
2.108	1.900E-05
2.109	1.741E-05
2.110	1.469E-05
2.111	1.626E-05
2.112	1.599E-05
2.113	1.679E-05
2.114	1.649E-05
2.115	1.730E-05
2.116	1.845E-05
2.117	1.855E-05
2.118	1.985E-05
2.119	2.040E-05
2.120	2.256E-05
2.121	2.272E-05
2.122	2.194E-05
2.123	1.906E-05
2.124	1.562E-05
2.125	1.679E-05
2.126	1.911E-05
2.127	2.468E-05
2.128	2.334E-05
2.129	2.283E-05
2.130	2.051E-05
2.131	2.067E-05
2.132	2.300E-05
2.133	2.104E-05
2.134	2.000E-05
2.135	1.714E-05
2.136	1.863E-05
2.137	1.749E-05
2.138	1.789E-05
2.139	1.862E-05
2.140	2.097E-05
2.141	2.350E-05
2.142	2.119E-05
2.143	2.083E-05
2.144	1.893E-05
2.145	2.056E-05
2.146	2.026E-05
2.147	1.893E-05
2.148	2.049E-05
2.149	2.157E-05
2.150	2.085E-05
2.151	1.971E-05
2.152	2.288E-05
2.153	2.555E-05
2.154	2.623E-05
2.155	2.398E-05
2.156	2.165E-05
2.157	2.088E-05
2.158	1.894E-05
2.159	2.207E-05
2.160	2.118E-05
2.161	2.308E-05
2.162	2.231E-05
2.163	2.395E-05
2.164	2.458E-05
2.165	2.221E-05
2.166	2.013E-05
2.167	1.745E-05
2.168	1.684E-05
2.169	1.903E-05
2.170	2.228E-05
2.171	2.320E-05
2.172	1.968E-05
2.173	1.954E-05
2.174	2.045E-05
2.175	2.437E-05
2.176	2.042E-05
2.177	1.848E-05
2.178	1.804E-05
2.179	1.914E-05
2.180	1.871E-05
2.181	1.983E-05
2.182	1.998E-05
2.183	2.220E-05
2.184	2.022E-05
2.185	2.120E-05
2.186	1.969E-05
2.187	1.723E-05
2.188	1.524E-05
2.189	1.677E-05
2.190	1.888E-05
2.191	2.255E-05
2.192	2.445E-05
2.193	2.334E-05
2.194	2.177E-05
2.195	2.091E-05
2.196	2.446E-05
2.197	2.535E-05
2.198	2.792E-05
2.199	2.569E-05
2.200	2.599E-05
2.201	2.473E-05
2.202	2.593E-05
2.203	2.554E-05
2.204	2.584E-05
2.205	2.771E-05
2.206	2.803E-05
2.207	2.658E-05
2.208	2.485E-05
2.209	2.650E-05
2.210	2.863E-05
2.211	3.083E-05
2.212	3.443E-05
2.213	3.734E-05
2.214	3.639E-05
2.215	2.551E-05
2.216	2.487E-05
2.217	2.826E-05
2.218	3.714E-05
2.219	3.366E-05
2.220	3.053E-05
2.221	3.011E-05
2.222	3.177E-05
2.223	3.134E-05
2.224	2.893E-05
2.225	2.522E-05
2.226	2.951E-05
2.227	2.978E-05
2.228	3.322E-05
2.229	3.352E-05
2.230	3.357E-05
2.231	3.262E-05
2.232	2.909E-05
2.233	3.021E-05
2.234	2.996E-05
2.235	3.325E-05
2.236	3.261E-05
2.237	3.654E-05
2.238	3.048E-05
2.239	3.463E-05
2.240	3.779E-05
2.241	4.097E-05
2.242	4.033E-05
2.243	3.732E-05
2.244	3.482E-05
2.245	3.470E-05
2.246	3.129E-05
2.247	3.670E-05
2.248	3.389E-05
2.249	3.636E-05
2.250	3.364E-05
2.251	3.556E-05
2.252	3.386E-05
2.253	3.750E-05
2.254	4.151E-05
2.255	4.642E-05
2.256	4.710E-05
2.257	4.064E-05
2.258	3.605E-05
2.259	3.654E-05
2.260	4.420E-05
2.261	4.702E-05
2.262	4.324E-05
2.263	3.798E-05
2.264	3.533E-05
2.265	3.399E-05
2.266	3.473E-05
2.267	3.350E-05
2.268	3.776E-05
